Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148W,D_SOD-123,64.92,-74.25,90.0,bottom
D2,1N4148W,D_SOD-123,83.97,-74.25,90.0,bottom
D3,1N4148W,D_SOD-123,103.02,-74.25,90.0,bottom
D4,1N4148W,D_SOD-123,64.92,-93.3,90.0,bottom
D5,1N4148W,D_SOD-123,83.97,-93.3,90.0,bottom
D6,1N4148W,D_SOD-123,103.02,-93.3,90.0,bottom
D7,GS1010FL,D_SOD-123F,49.48,-67.5375,90.0,bottom
LED1,SK6812MINI-E,SK6812-MINI-E,57.15,-81.035,0.0,bottom
LED2,SK6812MINI-E,SK6812-MINI-E,76.2,-81.035,0.0,bottom
LED3,SK6812MINI-E,SK6812-MINI-E,95.25,-81.035,0.0,bottom
LED4,SK6812MINI-E,SK6812-MINI-E,95.25,-100.575,180.0,bottom
LED5,SK6812MINI-E,SK6812-MINI-E,76.2,-100.575,180.0,bottom
LED6,SK6812MINI-E,SK6812-MINI-E,57.15,-100.575,180.0,bottom
RE1,RotaryEncoder,RotaryEncoder_Alps_EC12E_Vertical_H20mm,56.2,-57.15,0.0,top
RE2,RotaryEncoder,RotaryEncoder_Alps_EC12E_Vertical_H20mm,96.2,-57.15,180.0,top
SW1,SW_Push,MX-Solderable-1U,57.15,-76.2,0.0,top
SW2,SW_Push,MX-Solderable-1U,76.2,-76.2,0.0,top
SW3,SW_Push,MX-Solderable-1U,95.25,-76.2,0.0,top
SW4,SW_Push,MX-Solderable-1U,57.15,-95.25,0.0,top
SW5,SW_Push,MX-Solderable-1U,76.2,-95.25,0.0,top
SW6,SW_Push,MX-Solderable-1U,95.25,-95.25,0.0,top
U1,Seeed Studio XIAO SAMD21,XIAO-SAMD21-RP2040-14P-2.54-21X17.8MM (Seeeduino XIAO),76.2,-58.15,0.0,bottom
